discipline,discipline_cn,paper_n,country_cn,discipline_code,discipline_category
0704 Astronomy,天文学,213,爱沙尼亚,07,理学
0710 Biology,生物学,127,爱沙尼亚,07,理学
1002 Clinical Medicine,临床医学,125,爱沙尼亚,10,医学
0805 Materials Science and Engineering,材料科学与工程,113,爱沙尼亚,08,工学
1001 Basic Medicine,基础医学,87,爱沙尼亚,10,医学
0703 Chemistry,化学,76,爱沙尼亚,07,理学
0830 Environmental Science and Engineering,环境科学与工程,72,爱沙尼亚,08,工学
0827 Nuclear Science and Technology,核科学与技术,57,爱沙尼亚,08,工学
0804 Instrumentation Science and Technology,仪器科学与技术,54,爱沙尼亚,08,工学
0713 Ecology,生态学,47,爱沙尼亚,07,理学
0803 Optical Engineering,光学工程,45,爱沙尼亚,08,工学
0402 Psychology,心理学,35,爱沙尼亚,04,教育学
1004 Public Health and Preventive Medicine,公共卫生与预防医学,34,爱沙尼亚,10,医学
0708 Geophysics,地球物理学,27,爱沙尼亚,07,理学
0820 Oil and Natural Gas Engineering,石油与天然气工程,26,爱沙尼亚,08,工学
0812 Computer Science and Technology,计算机科学与技术,24,爱沙尼亚,08,工学
1400 Cross-field,,24,爱沙尼亚,14,跨学科
0806 Metallurgical Engineering,冶金工程,21,爱沙尼亚,08,工学
0907 Forestry,林学,21,爱沙尼亚,09,农学
0709 Geology,地质学,19,爱沙尼亚,07,理学
0701 Mathematics,数学,17,爱沙尼亚,07,理学
0808 Electrical Engineering,电气工程,15,爱沙尼亚,08,工学
0823 Transportation Engineering,交通运输工程,15,爱沙尼亚,08,工学
0705 Geography,地理学,14,爱沙尼亚,07,理学
0706 Atmospheric Science,大气科学,14,爱沙尼亚,07,理学
0101 Philosophy,哲学,12,爱沙尼亚,01,哲学
0810 Information and Communication Engineering,信息与通信工程,12,爱沙尼亚,08,工学
1201 Management Science and Engineering,管理科学与工程,11,爱沙尼亚,12,管理学
0811 Control Science and Engineering,控制科学与工程,10,爱沙尼亚,08,工学
0814 Civil Engineering,土木工程,9,爱沙尼亚,08,工学
0816 Surveying and Mapping,测绘科学与技术,9,爱沙尼亚,08,工学
0817 Chemical Engineering and Technology,化学工程与技术,9,爱沙尼亚,08,工学
0303 Sociology,社会学,8,爱沙尼亚,03,法学
0707 Marine Science,海洋科学,8,爱沙尼亚,07,理学
0903 Agricultural Resource and Environment Sciences,农业资源与环境,8,爱沙尼亚,09,农学
0401 Education,教育学,7,爱沙尼亚,04,教育学
0809 Electronic Science and Technology,电子科学与技术,7,爱沙尼亚,08,工学
1202 Business Administration,工商管理,7,爱沙尼亚,12,管理学
0712 History of Science and Technology,科学技术史,6,爱沙尼亚,07,理学
0826 Armament Science and Technology,兵器科学与技术,6,爱沙尼亚,08,工学
0832 Food Science and Engineering,食品科学与工程,6,爱沙尼亚,08,工学
0833 Urban and Rural Planning,城乡规划学,6,爱沙尼亚,08,工学
0836 Biotechnology and Bioengineering,生物工程,6,爱沙尼亚,08,工学
0201 Theoretical Economics,理论经济学,5,爱沙尼亚,02,经济学
0301 Law,法学,5,爱沙尼亚,03,法学
0711 Systems Science,系统科学,5,爱沙尼亚,07,理学
0802 Mechanical Engineering,机械工程,5,爱沙尼亚,08,工学
0815 Hydraulic Engineering,水利工程,5,爱沙尼亚,08,工学
1010 Medical Technology,医学技术,5,爱沙尼亚,10,医学
0202 Applied Economics,应用经济学,4,爱沙尼亚,02,经济学
0831 Biomedical Engineering,生物医学工程,4,爱沙尼亚,08,工学
0835 Software Engineering,软件工程,4,爱沙尼亚,08,工学
0837 Safety Science and Engineering,安全科学与工程,4,爱沙尼亚,08,工学
0901 Crop Science,作物学,4,爱沙尼亚,09,农学
0909 Grassland Science,草学,4,爱沙尼亚,09,农学
1007 Pharmaceutical Science,药学,4,爱沙尼亚,10,医学
1204 Public Administration,公共管理,4,爱沙尼亚,12,管理学
1205 Library and Information Science & Archive Management,图书情报与档案管理,4,爱沙尼亚,12,管理学
0302 Political Science,政治学,3,爱沙尼亚,03,法学
0714 Statistics,统计学,3,爱沙尼亚,07,理学
0807 Power Engineering and Engineering Thermophysics,动力工程及工程热物理,3,爱沙尼亚,08,工学
0834 Landscape Architecture,风景园林学,3,爱沙尼亚,08,工学
0905 Animal Science,畜牧学,3,爱沙尼亚,09,农学
0801 Mechanics,力学,2,爱沙尼亚,08,工学
0813 Architecture,建筑学,2,爱沙尼亚,08,工学
0819 Mining Engineering,矿业工程,2,爱沙尼亚,08,工学
0822 Light Industry Technology and Engineering,轻工技术与工程,2,爱沙尼亚,08,工学
0824 Naval Architecture and Ocean Engineering,船舶与海洋工程,2,爱沙尼亚,08,工学
0825 Aerospace Science and Technology,航空宇航科学与技术,2,爱沙尼亚,08,工学
0828 Agricultural Engineering,农业工程,2,爱沙尼亚,08,工学
0906 Veterinary Medicine,兽医学,2,爱沙尼亚,09,农学
1009 Special Medicine,特种医学,2,爱沙尼亚,10,医学
1302 Music and Dance,音乐与舞蹈学,2,爱沙尼亚,13,艺术学
0403 Physical Education and Sport Science,体育学,1,爱沙尼亚,04,教育学
0503 Journalism and Communication,新闻传播学,1,爱沙尼亚,05,文学
0601 Archaeology,考古学,1,爱沙尼亚,06,历史学
0603 World History,世界史,1,爱沙尼亚,06,历史学
0821 Textile Science and Engineering,纺织科学与工程,1,爱沙尼亚,08,工学
0829 Forestry Engineering,林业工程,1,爱沙尼亚,08,工学
0902 Horticulture,园艺学,1,爱沙尼亚,09,农学
1003 Stomatology,口腔医学,1,爱沙尼亚,10,医学
1305 Design,设计学,1,爱沙尼亚,13,艺术学
0702 Physics,物理学,1630,罗马尼亚,07,理学
0704 Astronomy,天文学,367,罗马尼亚,07,理学
1002 Clinical Medicine,临床医学,362,罗马尼亚,10,医学
0701 Mathematics,数学,338,罗马尼亚,07,理学
0703 Chemistry,化学,210,罗马尼亚,07,理学
0805 Materials Science and Engineering,材料科学与工程,204,罗马尼亚,08,工学
0827 Nuclear Science and Technology,核科学与技术,184,罗马尼亚,08,工学
0804 Instrumentation Science and Technology,仪器科学与技术,168,罗马尼亚,08,工学
0710 Biology,生物学,160,罗马尼亚,07,理学
0812 Computer Science and Technology,计算机科学与技术,152,罗马尼亚,08,工学
0830 Environmental Science and Engineering,环境科学与工程,144,罗马尼亚,08,工学
0820 Oil and Natural Gas Engineering,石油与天然气工程,126,罗马尼亚,08,工学
1001 Basic Medicine,基础医学,120,罗马尼亚,10,医学
0801 Mechanics,力学,108,罗马尼亚,08,工学
0708 Geophysics,地球物理学,103,罗马尼亚,07,理学
1004 Public Health and Preventive Medicine,公共卫生与预防医学,101,罗马尼亚,10,医学
0802 Mechanical Engineering,机械工程,92,罗马尼亚,08,工学
0811 Control Science and Engineering,控制科学与工程,91,罗马尼亚,08,工学
1010 Medical Technology,医学技术,90,罗马尼亚,10,医学
0807 Power Engineering and Engineering Thermophysics,动力工程及工程热物理,87,罗马尼亚,08,工学
1009 Special Medicine,特种医学,86,罗马尼亚,10,医学
0835 Software Engineering,软件工程,80,罗马尼亚,08,工学
0401 Education,教育学,76,罗马尼亚,04,教育学
1201 Management Science and Engineering,管理科学与工程,73,罗马尼亚,12,管理学
0806 Metallurgical Engineering,冶金工程,71,罗马尼亚,08,工学
0814 Civil Engineering,土木工程,71,罗马尼亚,08,工学
0402 Psychology,心理学,69,罗马尼亚,04,教育学
1400 Cross-field,,68,罗马尼亚,14,跨学科
0810 Information and Communication Engineering,信息与通信工程,67,罗马尼亚,08,工学
0831 Biomedical Engineering,生物医学工程,65,罗马尼亚,08,工学
0714 Statistics,统计学,63,罗马尼亚,07,理学
0706 Atmospheric Science,大气科学,57,罗马尼亚,07,理学
0803 Optical Engineering,光学工程,55,罗马尼亚,08,工学
0817 Chemical Engineering and Technology,化学工程与技术,52,罗马尼亚,08,工学
1007 Pharmaceutical Science,药学,52,罗马尼亚,10,医学
0825 Aerospace Science and Technology,航空宇航科学与技术,50,罗马尼亚,08,工学
0832 Food Science and Engineering,食品科学与工程,48,罗马尼亚,08,工学
0816 Surveying and Mapping,测绘科学与技术,47,罗马尼亚,08,工学
1202 Business Administration,工商管理,46,罗马尼亚,12,管理学
0836 Biotechnology and Bioengineering,生物工程,42,罗马尼亚,08,工学
0711 Systems Science,系统科学,38,罗马尼亚,07,理学
0713 Ecology,生态学,37,罗马尼亚,07,理学
1003 Stomatology,口腔医学,37,罗马尼亚,10,医学
0823 Transportation Engineering,交通运输工程,36,罗马尼亚,08,工学
0824 Naval Architecture and Ocean Engineering,船舶与海洋工程,35,罗马尼亚,08,工学
0202 Applied Economics,应用经济学,31,罗马尼亚,02,经济学
0821 Textile Science and Engineering,纺织科学与工程,31,罗马尼亚,08,工学
0709 Geology,地质学,30,罗马尼亚,07,理学
0712 History of Science and Technology,科学技术史,30,罗马尼亚,07,理学
0809 Electronic Science and Technology,电子科学与技术,30,罗马尼亚,08,工学
0819 Mining Engineering,矿业工程,29,罗马尼亚,08,工学
0705 Geography,地理学,27,罗马尼亚,07,理学
0808 Electrical Engineering,电气工程,27,罗马尼亚,08,工学
0828 Agricultural Engineering,农业工程,27,罗马尼亚,08,工学
0833 Urban and Rural Planning,城乡规划学,27,罗马尼亚,08,工学
0303 Sociology,社会学,24,罗马尼亚,03,法学
0818 Geological Resources and Geological Engineering,地质资源与地质工程,24,罗马尼亚,08,工学
1204 Public Administration,公共管理,24,罗马尼亚,12,管理学
0403 Physical Education and Sport Science,体育学,23,罗马尼亚,04,教育学
0813 Architecture,建筑学,21,罗马尼亚,08,工学
0815 Hydraulic Engineering,水利工程,19,罗马尼亚,08,工学
0822 Light Industry Technology and Engineering,轻工技术与工程,17,罗马尼亚,08,工学
0201 Theoretical Economics,理论经济学,15,罗马尼亚,02,经济学
0601 Archaeology,考古学,15,罗马尼亚,06,历史学
0707 Marine Science,海洋科学,15,罗马尼亚,07,理学
0302 Political Science,政治学,14,罗马尼亚,03,法学
0901 Crop Science,作物学,12,罗马尼亚,09,农学
0905 Animal Science,畜牧学,10,罗马尼亚,09,农学
1205 Library and Information Science & Archive Management,图书情报与档案管理,10,罗马尼亚,12,管理学
0906 Veterinary Medicine,兽医学,9,罗马尼亚,09,农学
0907 Forestry,林学,9,罗马尼亚,09,农学
1008 Chinese Materia Medica,中药学,9,罗马尼亚,10,医学
0301 Law,法学,8,罗马尼亚,03,法学
0903 Agricultural Resource and Environment Sciences,农业资源与环境,8,罗马尼亚,09,农学
0503 Journalism and Communication,新闻传播学,7,罗马尼亚,05,文学
0826 Armament Science and Technology,兵器科学与技术,7,罗马尼亚,08,工学
0101 Philosophy,哲学,6,罗马尼亚,01,哲学
0837 Safety Science and Engineering,安全科学与工程,6,罗马尼亚,08,工学
0904 Plant Protection,植物保护,5,罗马尼亚,09,农学
0908 Fisheries,水产,4,罗马尼亚,09,农学
0603 World History,世界史,3,罗马尼亚,06,历史学
1302 Music and Dance,音乐与舞蹈学,3,罗马尼亚,13,艺术学
0829 Forestry Engineering,林业工程,2,罗马尼亚,08,工学
0902 Horticulture,园艺学,2,罗马尼亚,09,农学
0909 Grassland Science,草学,2,罗马尼亚,09,农学
1011 Nursing,护理学,2,罗马尼亚,10,医学
1203 Economics and Management of Agriculture and Forestry,农林经济管理,2,罗马尼亚,12,管理学
0304 Ethnology,民族学,1,罗马尼亚,03,法学
1303 Drama Film and Television,戏剧与影视学,1,罗马尼亚,13,艺术学
