discipline,discipline_cn,paper_n,country_cn,discipline_code,discipline_category
0802 Mechanical Engineering,机械工程,59,希腊,08,工学
1009 Special Medicine,特种医学,59,希腊,10,医学
0402 Psychology,心理学,54,希腊,04,教育学
0815 Hydraulic Engineering,水利工程,52,希腊,08,工学
0401 Education,教育学,51,希腊,04,教育学
0831 Biomedical Engineering,生物医学工程,50,希腊,08,工学
0832 Food Science and Engineering,食品科学与工程,50,希腊,08,工学
0714 Statistics,统计学,48,希腊,07,理学
0807 Power Engineering and Engineering Thermophysics,动力工程及工程热物理,46,希腊,08,工学
1400 Cross-field,,46,希腊,14,跨学科
0818 Geological Resources and Geological Engineering,地质资源与地质工程,45,希腊,08,工学
0836 Biotechnology and Bioengineering,生物工程,44,希腊,08,工学
0705 Geography,地理学,41,希腊,07,理学
1007 Pharmaceutical Science,药学,41,希腊,10,医学
0711 Systems Science,系统科学,38,希腊,07,理学
0713 Ecology,生态学,37,希腊,07,理学
0825 Aerospace Science and Technology,航空宇航科学与技术,36,希腊,08,工学
1202 Business Administration,工商管理,34,希腊,12,管理学
0303 Sociology,社会学,33,希腊,03,法学
0709 Geology,地质学,33,希腊,07,理学
1204 Public Administration,公共管理,33,希腊,12,管理学
0712 History of Science and Technology,科学技术史,29,希腊,07,理学
0828 Agricultural Engineering,农业工程,28,希腊,08,工学
1003 Stomatology,口腔医学,26,希腊,10,医学
0707 Marine Science,海洋科学,25,希腊,07,理学
0302 Political Science,政治学,23,希腊,03,法学
0819 Mining Engineering,矿业工程,23,希腊,08,工学
0833 Urban and Rural Planning,城乡规划学,23,希腊,08,工学
1205 Library and Information Science & Archive Management,图书情报与档案管理,22,希腊,12,管理学
0824 Naval Architecture and Ocean Engineering,船舶与海洋工程,20,希腊,08,工学
0301 Law,法学,18,希腊,03,法学
0837 Safety Science and Engineering,安全科学与工程,18,希腊,08,工学
0901 Crop Science,作物学,17,希腊,09,农学
0503 Journalism and Communication,新闻传播学,16,希腊,05,文学
0601 Archaeology,考古学,16,希腊,06,历史学
0813 Architecture,建筑学,16,希腊,08,工学
0101 Philosophy,哲学,13,希腊,01,哲学
0826 Armament Science and Technology,兵器科学与技术,13,希腊,08,工学
0903 Agricultural Resource and Environment Sciences,农业资源与环境,13,希腊,09,农学
0202 Applied Economics,应用经济学,10,希腊,02,经济学
0603 World History,世界史,10,希腊,06,历史学
1302 Music and Dance,音乐与舞蹈学,9,希腊,13,艺术学
0905 Animal Science,畜牧学,7,希腊,09,农学
0907 Forestry,林学,7,希腊,09,农学
0822 Light Industry Technology and Engineering,轻工技术与工程,6,希腊,08,工学
0906 Veterinary Medicine,兽医学,6,希腊,09,农学
0201 Theoretical Economics,理论经济学,5,希腊,02,经济学
0403 Physical Education and Sport Science,体育学,5,希腊,04,教育学
0904 Plant Protection,植物保护,5,希腊,09,农学
0821 Textile Science and Engineering,纺织科学与工程,4,希腊,08,工学
1301 Art Theory,艺术学理论,4,希腊,13,艺术学
0839 Cyberspace Security,网络空间安全,3,希腊,08,工学
0908 Fisheries,水产,3,希腊,09,农学
1203 Economics and Management of Agriculture and Forestry,农林经济管理,3,希腊,12,管理学
0829 Forestry Engineering,林业工程,2,希腊,08,工学
0902 Horticulture,园艺学,2,希腊,09,农学
1303 Drama Film and Television,戏剧与影视学,2,希腊,13,艺术学
0909 Grassland Science,草学,1,希腊,09,农学
1008 Chinese Materia Medica,中药学,1,希腊,10,医学
1011 Nursing,护理学,1,希腊,10,医学
0702 Physics,物理学,2299,捷克,07,理学
0704 Astronomy,天文学,721,捷克,07,理学
0710 Biology,生物学,540,捷克,07,理学
0703 Chemistry,化学,471,捷克,07,理学
0805 Materials Science and Engineering,材料科学与工程,440,捷克,08,工学
1002 Clinical Medicine,临床医学,358,捷克,10,医学
0830 Environmental Science and Engineering,环境科学与工程,325,捷克,08,工学
1001 Basic Medicine,基础医学,257,捷克,10,医学
0804 Instrumentation Science and Technology,仪器科学与技术,211,捷克,08,工学
0820 Oil and Natural Gas Engineering,石油与天然气工程,202,捷克,08,工学
0812 Computer Science and Technology,计算机科学与技术,197,捷克,08,工学
0708 Geophysics,地球物理学,183,捷克,07,理学
0827 Nuclear Science and Technology,核科学与技术,179,捷克,08,工学
0701 Mathematics,数学,171,捷克,07,理学
0713 Ecology,生态学,157,捷克,07,理学
